subject	explanation	seed	level	grammaticality	age	language	comments	sent_with_corefs
12	she went to grab a refill of coffee	Meg bought a new computer	2	good	31	English	Interesting and fun experiment.	Meg went to grab a refill of coffee
12	she needed more caffeine to stay awake to study	Meg bought a new computer	3	good	31	English	Interesting and fun experiment.	Meg needed more caffeine to stay awake to study
12	so she can get an A on the exam	Meg bought a new computer	4	unknown	31	English	Interesting and fun experiment.	so Meg can get an A on the exam
12	to mail her mother a card	Jane went to the post office	0	good	31	English	Interesting and fun experiment.	to mail Jane mother a card
12	it's her mother's birthday soon	Jane went to the post office	1	good	31	English	Interesting and fun experiment.	it's her mother's birthday soon
12	she was born on that day 60 years ago	Jane went to the post office	2	good	31	English	Interesting and fun experiment.	mail Jane mother a card was born on that day 60 years ago
12	her parents conceived her then	Jane went to the post office	3	good	31	English	Interesting and fun experiment.	Jane parents conceived mail Jane mother a card was born on that day 60 years ago because her parents then
12	they were in love and wanted to start a family	Jane went to the post office	4	unknown	31	English	Interesting and fun experiment.	Jane parents were in love and wanted to start a family
12	his wife cooks and he cleans	Alex did the dishes	0	good	31	English	Interesting and fun experiment.	Alex's wife cooks and Alex cleans
12	he's not a good cook and they split the chores	Alex did the dishes	1	good	31	English	Interesting and fun experiment.	Alex's not a good cook and wife cooks split the chores
12	he wants to help out around the house	Alex did the dishes	2	good	31	English	Interesting and fun experiment.	Alex wants to help out around the house
12	so that he doesn't feel useless	Alex did the dishes	3	unknown	31	English	Interesting and fun experiment.	so that Alex doesn't feel useless
13	he wanted plant some stuff in his backyard	Jack read a book about gardening	0	good	27	English		Jack wanted plant some stuff in Jack's backyard
13	he just recently bought a house with a backyard.	Jack read a book about gardening	1	good	27	English		Jack just recently bought a house with a backyard
13	his had a new born kid and they needed a bigger home.	Jack read a book about gardening	2	good	27	English		Jack's had a new born kid and they needed a bigger home
13	he loves his wife and they wanted to start a family together	Jack read a book about gardening	3	good	27	English		Jack loves Jack's wife and they wanted to start a family together
13	they felt in love	Jack read a book about gardening	4	unknown	27	English		they felt in love
13	he needs to make money.	Maya drove to work	0	good	27	English		he needs to make money
13	he needs to afford his rent	Maya drove to work	1	good	27	English		he needs to afford his rent
13	he needs to live there 	Maya drove to work	2	good	27	English		he needs to live there 
13	if he doesn't live there he won't have a place to live	Maya drove to work	3	good	27	English		if he doesn't live there he won't have a place to live
13	he doesn't want to be homless	Maya drove to work	4	unknown	27	English		he doesn't want to be homless
13	her old computer was getting slow 	Meg bought a new computer	0	good	27	English		Meg old computer was getting slow 
13	she downloaded a lot of crap on it	Meg bought a new computer	1	good	27	English		she downloaded a lot of crap on it
13	she doesn't know how to clean up her computer	Meg bought a new computer	2	good	27	English		Meg doesn't know how to clean up Meg computer
13	she's not that proficient in computer	Meg bought a new computer	3	good	27	English		Meg's not that proficient in computer
13	she never learn them	Meg bought a new computer	4	unknown	27	English		Meg never learn them
13	his gf cooked	Alex did the dishes	0	good	27	English		Alex's gf cooked
13	they needed to eat something	Alex did the dishes	1	good	27	English		they needed to eat something
13	humans need food to make eneregy	Alex did the dishes	2	good	27	English		humans need food to make eneregy
13	otherwise people would die	Alex did the dishes	3	good	27	English		otherwise people would die
13	they won't have any food to make energey	Alex did the dishes	4	unknown	27	English		humans won t have any food to make energey
13	she was hungry	Amy ate a sandwich	0	good	27	English		Amy was hungry
13	sh hasn't eaten since lunch	Amy ate a sandwich	1	good	27	English		sh hasn't eaten since lunch
13	she was caught up with work	Amy ate a sandwich	2	good	27	English		Amy was caught up with work
13	her client was being stupid and caused a lot of issue	Amy ate a sandwich	3	unknown	27	English		Amy client was being stupid and caused a lot of issue
14	the dishes were dirty.	Alex did the dishes	0	good	33	English	Thank you	the dishes were dirty
14	the family had eaten dinner.	Alex did the dishes	1	good	33	English	Thank you	the family had eaten dinner
14	they were all hungry.	Alex did the dishes	2	good	33	English	Thank you	they were all hungry
14	they had not eaten for a long time.	Alex did the dishes	3	good	33	English	Thank you	they had not eaten for a long time
14	they had had a busy day.	Alex did the dishes	4	unknown	33	English	Thank you	they had had a busy day
14	he was out of food.	John went to the store	0	good	33	English	Thank you	John was out of food
14	he had not been to the store for a long time	John went to the store	1	good	33	English	Thank you	John had not been to the store for a long time
14	he did not have much money	John went to the store	2	good	33	English	Thank you	John did not have much money
14	he had lost of his job recently	John went to the store	3	good	33	English	Thank you	John had lost of John's job recently
14	he was lazy 	John went to the store	4	unknown	33	English	Thank you	John was lazy 
14	she was hungry	Amy ate a sandwich	0	good	33	English	Thank you	Amy was hungry
14	she had not had breakfast	Amy ate a sandwich	1	good	33	English	Thank you	Amy had not had breakfast
14	she had overslept	Amy ate a sandwich	2	good	33	English	Thank you	Amy had overslept
14	she had been up all night	Amy ate a sandwich	3	good	33	English	Thank you	Amy had been up all night
14	she had a paper to write	Amy ate a sandwich	4	unknown	33	English	Thank you	Amy had a paper to write
14	he wanted to start his own garden	Jack read a book about gardening	0	good	33	English	Thank you	Jack wanted to start Jack's own garden
14	he wanted to grow fresh vegetables	Jack read a book about gardening	1	good	33	English	Thank you	Jack wanted to grow fresh vegetables
14	he was fat and worried about his health	Jack read a book about gardening	2	good	33	English	Thank you	Jack was fat and worried about Jack's health
14	he only ate junk food	Jack read a book about gardening	3	good	33	English	Thank you	Jack only ate junk food
14	he did not know how to cook for himself	Jack read a book about gardening	4	unknown	33	English	Thank you	Jack did not know how to cook for himself
14	she had to earn a paycheck	Maya drove to work	0	good	33	English	Thank you	Maya had to earn a paycheck
14	she had to pay her mortgage	Maya drove to work	1	good	33	English	Thank you	Maya had to pay Maya mortgage
14	she did not want to lose her home	Maya drove to work	2	good	33	English	Thank you	Maya did not want to lose Maya home
14	she did not want to be homeless	Maya drove to work	3	unknown	33	English	Thank you	Maya did not want to be homeless
15	she needed to spreadsheets at home.	Meg bought a new computer	0	good	27	english		Meg needed to spreadsheets at home
15	she works from home.	Meg bought a new computer	1	good	27	english		Meg works from home
15	her jobs lets her	Meg bought a new computer	2	good	27	english		Meg jobs lets Meg
15	they want to reduce work place stress	Meg bought a new computer	3	good	27	english		they want to reduce work place stress
15	The company has stressful working conditions	Meg bought a new computer	4	unknown	27	english		The company has stressful working conditions
15	 she wanted ice cream	John went to the store	0	good	27	english		 she wanted ice cream
15	she was craving ice cream	John went to the store	1	good	27	english		she was craving ice cream
15	 she's pregnant	John went to the store	2	good	27	english		craving ice cream because she 's pregnant she's pregnant
15	she had sex with a male	John went to the store	3	good	27	english		she had sex with a male
15	because it feels good	John went to the store	4	unknown	27	english		because sex with a male feels good
15	he was hosting tonight's football night	Tom cooked dinner	0	good	27	english		Tom was hosting tonight's football night
15	because his friends usually rotate between houses	Tom cooked dinner	1	good	27	english		because Tom's friends usually rotate between houses
15	it's a guys night out	Tom cooked dinner	2	good	27	english		it's a guys night out
15	their wives nag	Tom cooked dinner	3	good	27	english		Tom 's friends's wives nag
15	they don't pay attention to them	Tom cooked dinner	4	unknown	27	english		they don t pay attention Tom 's friends 's wives them
15	it was his chore	Alex did the dishes	0	good	27	english		it was Alex's chore
15	his parents said so	Alex did the dishes	1	good	27	english		Alex's parents said so
15	they pay the bills in the house	Alex did the dishes	2	good	27	english		Alex 's parents pay the bills in the house
15	 they are home owners	Alex did the dishes	3	good	27	english		 they are home owners
15	they wanted a home to start a family	Alex did the dishes	4	unknown	27	english		they wanted a home to start a family
15	it was broken	Sam repaired his bicycle	0	good	27	english		his bicycle was broken
15	he jumped off a ramp	Sam repaired his bicycle	1	good	27	english		Sam jumped off a ramp
15	it was fun	Sam repaired his bicycle	2	good	27	english		a ramp was fun
15	sam lives in middle of no where	Sam repaired his bicycle	3	unknown	27	english		sam lives in middle of no where
16	he wanted to start a garden	Jack read a book about gardening	0	good	31	English		Jack wanted to start a garden
16	he wanted fresh vegetables	Jack read a book about gardening	1	good	31	English		Jack wanted fresh vegetables
16	he wanted to start eating healthy	Jack read a book about gardening	2	good	31	English		Jack wanted to start eating healthy
16	to maintain a healthy body weight	Jack read a book about gardening	3	good	31	English		to maintain a healthy body weight
16	he wants to live longer	Jack read a book about gardening	4	unknown	31	English		Jack wants to live longer
16	his other one broke	Meg bought a new computer	0	good	31	English		his other one broke
16	he got a virus	Meg bought a new computer	1	good	31	English		he got a virus
16	he opened an email attatchment that infected his computer	Meg bought a new computer	2	good	31	English		he opened an email attatchment that infected his computer
16	he thought  it was from a friend	Meg bought a new computer	3	good	31	English		he thought a new computer it was from a friend
16	the email had his friends email and name	Meg bought a new computer	4	unknown	31	English		the email had a friend's friends email and name
16	it was broken in an accident	Sam repaired his bicycle	0	good	31	English		his bicycle was broken in an accident
16	he was hit by a car	Sam repaired his bicycle	1	good	31	English		Sam was hit by a car
16	the drver wasn't paying attention	Sam repaired his bicycle	2	good	31	English		the drver wasn't paying attention
16	he was looking at his cell phone	Sam repaired his bicycle	3	good	31	English		the drver was looking at the drver's cell phone
16	he was texting his friend	Sam repaired his bicycle	4	unknown	31	English		the drver was texting the drver's friend
16	it was his day to do them	Alex did the dishes	0	good	31	English		it was Alex's day to do them
16	his family has a chore chart	Alex did the dishes	1	good	31	English		Alex's family has a chore chart
16	every one needs to pitch in	Alex did the dishes	2	good	31	English		every one needs to pitch in
16	it is the fair thing to do	Alex did the dishes	3	good	31	English		it is the fair thing to do
16	it keeps the household fair	Alex did the dishes	4	unknown	31	English		one keeps the household fair
16	he was planning a party	John went to the store	0	good	31	English		John was planning a party
16	it was super bowl weekend	John went to the store	1	good	31	English		the store was super bowl weekend
16	the super bowl is on Sunday	John went to the store	2	good	31	English		the super bowl is on Sunday
16	that is when the NFL planned it	John went to the store	3	unknown	31	English		that is when the NFL planned it
17	Amy was hungry	Amy ate a sandwich	0	good	35	English		Amy was hungry
17	Amy hadn't eaten in hours.	Amy ate a sandwich	1	good	35	English		Amy hadn't eaten in hours
17	she had no money for food	Amy ate a sandwich	2	good	35	English		Amy had no money for food
17	she was robbed	Amy ate a sandwich	3	good	35	English		Amy was robbed
17	a burglar thought she had money	Amy ate a sandwich	4	unknown	35	English		a burglar thought Amy had money
17	he was interested in gardening	Jack read a book about gardening	0	good	35	English		Jack was interested in gardening
17	he wanted to start a garden	Jack read a book about gardening	1	good	35	English		Jack wanted to start a garden
17	he was interested in gardening	Jack read a book about gardening	2	good	35	English		Jack was interested in gardening
17	he wanted to start a garden	Jack read a book about gardening	3	good	35	English		Jack wanted to start a garden
17	he was interested in gardening	Jack read a book about gardening	4	unknown	35	English		Jack was interested in gardening
17	they needed to be done	Alex did the dishes	0	good	35	English		they needed to be done
17	they were dirty	Alex did the dishes	1	good	35	English		they were dirty
17	they had been used	Alex did the dishes	2	good	35	English		they had been used
17	food had been placed on them	Alex did the dishes	3	good	35	English		food had been placed on them
17	that's what you use dishes for	Alex did the dishes	4	unknown	35	English		that's what you use dishes for
17	it was broken	Sam repaired his bicycle	0	good	35	English		his bicycle was broken
17	it was used roughly	Sam repaired his bicycle	1	good	35	English		his bicycle was used roughly
17	the owner did not care for it	Sam repaired his bicycle	2	good	35	English		the owner did not care for his bicycle
17	the owner was a horrible person	Sam repaired his bicycle	3	good	35	English		the owner was a horrible person
17	he was brought up wrong	Sam repaired his bicycle	4	unknown	35	English		a horrible person was brought up wrong
17	raw dinner is unhealthy	Tom cooked dinner	0	good	35	English		raw dinner is unhealthy
17	you can die from eating raw meat	Tom cooked dinner	1	good	35	English		you can die from eating raw meat
17	bacteria on the meat can infect and kill you	Tom cooked dinner	2	good	35	English		bacteria on the meat can infect and kill you
17	that's what bacteria do	Tom cooked dinner	3	unknown	35	English		that's what bacteria do
18	he was asked to	Alex did the dishes	0	good	29	english		Alex was asked to
18	his mother wanted him to.	Alex did the dishes	1	good	29	english		Alex's mother wanted Alex to
18	she was tired.	Alex did the dishes	2	good	29	english		she was tired
18	she'd made the meal.	Alex did the dishes	3	good	29	english		mother wanted Alex to d made the meal
18	they needed to eat.	Alex did the dishes	4	unknown	29	english		they needed to eat
18	her old one was broken.	Meg bought a new computer	0	good	29	english		Meg old one was broken
18	it was old.	Meg bought a new computer	1	good	29	english		Meg old one was old
18	she'd bought it a long time ago.	Meg bought a new computer	2	good	29	english		Meg d bought it a long time ago
18	she needed one for school.	Meg bought a new computer	3	good	29	english		Meg needed one for school
18	she had essays to write.	Meg bought a new computer	4	unknown	29	english		Meg had essays to write
18	it interested him.	Jack read a book about gardening	0	good	29	english		a book interested Jack
18	he wondered how to grow vegetables.	Jack read a book about gardening	1	good	29	english		Jack wondered how to grow vegetables
18	he thought eating fresh vegetables would be good	Jack read a book about gardening	2	good	29	english		Jack thought eating fresh vegetables would be good
18	they are healthful.	Jack read a book about gardening	3	good	29	english		they are healthful
18	they provide nutrients	Jack read a book about gardening	4	unknown	29	english		they provide nutrients
18	he was hungry	Tom cooked dinner	0	good	29	english		Tom was hungry
18	he'd worked all day	Tom cooked dinner	1	good	29	english		Tom d worked all day
18	that was his job	Tom cooked dinner	2	good	29	english		that was Tom's job
18	he was offered that job	Tom cooked dinner	3	good	29	english		Tom was offered that job
18	he had expertise	Tom cooked dinner	4	unknown	29	english		Tom had expertise
18	he needed groceries	John went to the store	0	good	29	english		John needed groceries
18	he had eaten all his food	John went to the store	1	good	29	english		John had eaten all John's food
18	he hadn't been shopping in a while	John went to the store	2	good	29	english		John hadn't been shopping in a while
18	he didn't want to go shopping	John went to the store	3	unknown	29	english		John didn't want to go shopping
19	she needed to make money.	Maya drove to work	0	good	36	English	Thanks! That was fun. Sorry for some of the silly responses.	Maya needed to make money
19	 she had to pay her rent	Maya drove to work	1	good	36	English	Thanks! That was fun. Sorry for some of the silly responses.	Maya she had to Maya her rent
19	she had to have a place to live	Maya drove to work	2	good	36	English	Thanks! That was fun. Sorry for some of the silly responses.	Maya had to have a place to live
19	without a place to live she would be homeless	Maya drove to work	3	good	36	English	Thanks! That was fun. Sorry for some of the silly responses.	without a place to live Maya her rent would be homeless
19	she didn't have anywhere else to live	Maya drove to work	4	unknown	36	English	Thanks! That was fun. Sorry for some of the silly responses.	Maya her rent didn't have anywhere else to live
19	she was hungry	Amy ate a sandwich	0	good	36	English	Thanks! That was fun. Sorry for some of the silly responses.	Amy was hungry
19	she hadn't eaten in a long time	Amy ate a sandwich	1	good	36	English	Thanks! That was fun. Sorry for some of the silly responses.	Amy hadn't eaten in a long time
19	she forgot to eat while playing water polo	Amy ate a sandwich	2	good	36	English	Thanks! That was fun. Sorry for some of the silly responses.	Amy forgot to eat while playing water polo
19	your not supposed to eat while swimming	Amy ate a sandwich	3	good	36	English	Thanks! That was fun. Sorry for some of the silly responses.	your not supposed to eat while swimming
19	you can get stomach aches	Amy ate a sandwich	4	unknown	36	English	Thanks! That was fun. Sorry for some of the silly responses.	you can get stomach aches
19	he needed a gun	John went to the store	0	good	36	English	Thanks! That was fun. Sorry for some of the silly responses.	John needed a gun
19	people had been breaking into his house	John went to the store	1	good	36	English	Thanks! That was fun. Sorry for some of the silly responses.	people had been breaking into John's house
19	he had lots of gold	John went to the store	2	good	36	English	Thanks! That was fun. Sorry for some of the silly responses.	John had lots of gold
19	he invested in gold a long time ago	John went to the store	3	good	36	English	Thanks! That was fun. Sorry for some of the silly responses.	John invested in gold a long time ago
19	it was a good investment	John went to the store	4	unknown	36	English	Thanks! That was fun. Sorry for some of the silly responses.	a long time ago was a good investment
19	he wanted to mail a letter	Jane went to the post office	0	good	36	English	Thanks! That was fun. Sorry for some of the silly responses.	he wanted to mail a letter
19	he wanted to tell his ex-wife how much he disliked her	Jane went to the post office	1	good	36	English	Thanks! That was fun. Sorry for some of the silly responses.	he wanted to tell his ex-wife how much he disliked her
19	she was a bad person	Jane went to the post office	2	good	36	English	Thanks! That was fun. Sorry for some of the silly responses.	his ex-wife was a bad person
19	she told him he would never amount to anything	Jane went to the post office	3	good	36	English	Thanks! That was fun. Sorry for some of the silly responses.	his ex-wife told him he would never amount to anything
19	he didn't really amount to anything	Jane went to the post office	4	unknown	36	English	Thanks! That was fun. Sorry for some of the silly responses.	he didn't really amount to anything
19	it had a flat tire	Sam repaired his bicycle	0	good	36	English	Thanks! That was fun. Sorry for some of the silly responses.	his bicycle had a flat tire
19	he almost got in an accident	Sam repaired his bicycle	1	good	36	English	Thanks! That was fun. Sorry for some of the silly responses.	Sam almost got in an accident
19	he came around a corner to fast	Sam repaired his bicycle	2	good	36	English	Thanks! That was fun. Sorry for some of the silly responses.	Sam came around a corner to fast
19	he was trying to show off	Sam repaired his bicycle	3	unknown	36	English	Thanks! That was fun. Sorry for some of the silly responses.	Sam was trying to show off
20	she was scheduled to be there	Maya drove to work	0	good	36	English		Maya was scheduled to be there
20	it wasn't her day off.	Maya drove to work	1	good	36	English		it wasn't Maya day off
20	Her boss said she had to work	Maya drove to work	2	good	36	English		Her boss said Maya had to work
20	he needed her	Maya drove to work	3	good	36	English		Her boss needed Maya
20	the store was busy	Maya drove to work	4	unknown	36	English		the store was busy
20	he was hungry	Tom cooked dinner	0	good	36	English		Tom was hungry
20	he had not eaten lunch	Tom cooked dinner	1	good	36	English		Tom had not eaten lunch
20	the meeting ran late	Tom cooked dinner	2	good	36	English		the meeting ran late
20	there were a lot of disagreements	Tom cooked dinner	3	good	36	English		there were a lot of disagreements
20	no one could agree	Tom cooked dinner	4	unknown	36	English		no one could agree
20	He needed milk	John went to the store	0	good	36	English		He needed milk
20	the jug was empty	John went to the store	1	good	36	English		the jug was empty
20	someone drank it all	John went to the store	2	good	36	English		someone drank the jug all
20	they were thirsty	John went to the store	3	good	36	English		they were thirsty
20	it was hot outside	John went to the store	4	unknown	36	English		the jug was hot outside
20	it was broke	Sam repaired his bicycle	0	good	36	English		his bicycle was broke
20	he crashed it into a pole	Sam repaired his bicycle	1	good	36	English		Sam crashed his bicycle into a pole
20	he wasn't looking where he was going	Sam repaired his bicycle	2	good	36	English		Sam wasn't looking where Sam was going
20	he was daydreaming	Sam repaired his bicycle	3	good	36	English		Sam was daydreaming
20	he was thinking about a girl	Sam repaired his bicycle	4	unknown	36	English		Sam was thinking about a girl
20	her old one quit working	Meg bought a new computer	0	good	36	English		Meg old one quit working
20	lightning struck it	Meg bought a new computer	1	good	36	English		lightning struck one
20	she left it plugged in	Meg bought a new computer	2	good	36	English		Meg old one left one plugged in
20	she was in a hurry when she left	Meg bought a new computer	3	unknown	36	English		Meg old one was in a hurry when Meg old one left
21	she had to mail a letter.	Jane went to the post office	0	good	35	English	thank you very much	Jane had to mail a letter
21	she wanted to contact her aunt.	Jane went to the post office	1	good	35	English	thank you very much	Jane wanted to contact Jane aunt
21	her neice passed away.	Jane went to the post office	2	good	35	English	thank you very much	Jane neice passed away
21	she was sick.	Jane went to the post office	3	good	35	English	thank you very much	Jane neice was sick
21	she caught the bird flu.	Jane went to the post office	4	unknown	35	English	thank you very much	Jane caught the bird flu
21	he was hungry.	Tom cooked dinner	0	good	35	English	thank you very much	Tom was hungry
21	he hadn't eaten all day.	Tom cooked dinner	1	good	35	English	thank you very much	Tom hadn't eaten all day
21	he was busy.	Tom cooked dinner	2	good	35	English	thank you very much	Tom was busy
21	he was working on his car.	Tom cooked dinner	3	good	35	English	thank you very much	Tom was working on Tom's car
21	the engine blew up.	Tom cooked dinner	4	unknown	35	English	thank you very much	the engine blew up
21	the tire was flat.	Sam repaired his bicycle	0	good	35	English	thank you very much	the tire was flat
21	he ran over a nail.	Sam repaired his bicycle	1	good	35	English	thank you very much	Sam ran over a nail
21	he was riding on a bad road.	Sam repaired his bicycle	2	good	35	English	thank you very much	Sam was riding on a bad road
21	he had to take a detour.	Sam repaired his bicycle	3	good	35	English	thank you very much	Sam had to take a detour
21	the bridge was out.	Sam repaired his bicycle	4	unknown	35	English	thank you very much	the bridge was out
21	her old one broke.	Meg bought a new computer	0	good	35	English	thank you very much	Meg old one broke
21	she got a virus on it.	Meg bought a new computer	1	good	35	English	thank you very much	Meg old one got a virus on it
21	she clicked on a bad link.	Meg bought a new computer	2	good	35	English	thank you very much	Meg old one clicked on a bad link
21	it promised her money.	Meg bought a new computer	3	good	35	English	thank you very much	it promised one old one money
21	it was a scam.	Meg bought a new computer	4	unknown	35	English	thank you very much	one was a scam
21	it was quicker than walking.	Maya drove to work	0	good	35	English	thank you very much	it was quicker than walking
21	cars are faster than people.	Maya drove to work	1	good	35	English	thank you very much	cars are faster than people
21	they have engines.	Maya drove to work	2	good	35	English	thank you very much	people have engines
21	that is how they run.	Maya drove to work	3	unknown	35	English	thank you very much	that is how people run
22	she was hungry	Amy ate a sandwich	0	good	23	english		Amy was hungry
22	she had not eaten yet	Amy ate a sandwich	1	good	23	english		Amy had not eaten yet
22	she did not like breakfast	Amy ate a sandwich	2	good	23	english		Amy did not like breakfast
22	the eggs were too runny	Amy ate a sandwich	3	good	23	english		the eggs were too runny
22	they had not been cooked as long as she likes	Amy ate a sandwich	4	unknown	23	english		they had not been cooked as long as Amy likes
22	she needed to mail a letter	Jane went to the post office	0	good	23	english		Jane needed to mail a letter
22	she needed to let everyone know about her wedding date	Jane went to the post office	1	good	23	english		Jane needed to let everyone know about Jane wedding date
22	she wanted them to come to the wedding	Jane went to the post office	2	good	23	english		Jane wanted them to come to the wedding
22	she found their company pleasant	Jane went to the post office	3	good	23	english		Jane found their company pleasant
22	they were kind and friendly	Jane went to the post office	4	unknown	23	english		they were kind and friendly
22	the chain was broken	Sam repaired his bicycle	0	good	23	english		the chain was broken
22	it had caught on a stick while dirt biking	Sam repaired his bicycle	1	good	23	english		the chain had caught on a stick while dirt biking
22	he had not been careful enough	Sam repaired his bicycle	2	good	23	english		Sam had not been careful enough
22	He was biking with friends	Sam repaired his bicycle	3	good	23	english		He was biking with friends
22	it's much more fun to be with friends than alone	Sam repaired his bicycle	4	unknown	23	english		biking with friends's much more fun to be with friends than alone
22	he had a guest coming over	Tom cooked dinner	0	good	23	english		Tom had a guest coming over
22	he wanted to impress her	Tom cooked dinner	1	good	23	english		Tom wanted to impress her
22	he thought she was a kind woman	Tom cooked dinner	2	good	23	english		Tom thought she was a kind woman
22	he had seen her help a small boy when he fell down	Tom cooked dinner	3	good	23	english		Tom had seen a kind woman help a small boy when Tom fell down
22	the small boy had not been paying attention and tripped	Tom cooked dinner	4	unknown	23	english		the small boy had not been paying attention and tripped
22	her old computer had become obsolete	Meg bought a new computer	0	good	23	english		Meg old computer had become obsolete
22	it was ten years old	Meg bought a new computer	1	good	23	english		Meg old computer was ten years old
22	she had not been able to afford a new one before then	Meg bought a new computer	2	good	23	english		Meg had not been able to afford a new one before then
22	she had to pay off student loan debts	Meg bought a new computer	3	unknown	23	english		Meg had to pay off student loan debts
23	she was hungry	Amy ate a sandwich	0	good	23	English	It was fun and imaginative	Amy was hungry
23	she hadn't eaten all day	Amy ate a sandwich	1	good	23	English	It was fun and imaginative	Amy hadn't eaten all day
23	she was very busy	Amy ate a sandwich	2	good	23	English	It was fun and imaginative	Amy was very busy
23	she was planning her wedding	Amy ate a sandwich	3	good	23	English	It was fun and imaginative	Amy was planning Amy wedding
23	she is to be married in two months	Amy ate a sandwich	4	unknown	23	English	It was fun and imaginative	Amy is to be married in two months
23	his sink was full of dirty dishes	Alex did the dishes	0	good	23	English	It was fun and imaginative	Alex's sink was full of dirty dishes
23	he just made dinner	Alex did the dishes	1	good	23	English	It was fun and imaginative	Alex just made dinner
23	he was hungry	Alex did the dishes	2	good	23	English	It was fun and imaginative	Alex was hungry
23	he just came home from a long day at work	Alex did the dishes	3	good	23	English	It was fun and imaginative	Alex just came home from a long day at work
23	he had to work overtime	Alex did the dishes	4	unknown	23	English	It was fun and imaginative	Alex had to work overtime
23	he needed to buy groceries	John went to the store	0	good	23	English	It was fun and imaginative	John needed to buy groceries
23	he was out of several things	John went to the store	1	good	23	English	It was fun and imaginative	John was out of several things
23	he hadn't gone shopping for a while	John went to the store	2	good	23	English	It was fun and imaginative	John hadn't gone shopping for a while
23	he has been busy	John went to the store	3	good	23	English	It was fun and imaginative	John has been busy
23	he has a lot going on right now	John went to the store	4	unknown	23	English	It was fun and imaginative	John has a lot going on right now
23	the bus wasn't available today	Maya drove to work	0	good	23	English	It was fun and imaginative	the bus wasn't available today
23	it wasn't running today	Maya drove to work	1	good	23	English	It was fun and imaginative	the bus wasn't running today
23	the bus driver was sick	Maya drove to work	2	good	23	English	It was fun and imaginative	the bus driver was sick
23	there is a cold going around	Maya drove to work	3	good	23	English	It was fun and imaginative	there is a cold going around
23	people get sick	Maya drove to work	4	unknown	23	English	It was fun and imaginative	people get sick
23	the tire was flat	Sam repaired his bicycle	0	good	23	English	It was fun and imaginative	the tire was flat
23	he ran over a piece of glass	Sam repaired his bicycle	1	good	23	English	It was fun and imaginative	Sam ran over a piece of glass
23	somebody smashed a bottle in the street	Sam repaired his bicycle	2	good	23	English	It was fun and imaginative	somebody smashed a bottle in the street
23	some people are not considerate	Sam repaired his bicycle	3	unknown	23	English	It was fun and imaginative	some people are not considerate
24	he wants to start a garden	Jack read a book about gardening	0	good	27	English		Jack wants to start a garden
24	he would like to eat fresh fruit and vegetables	Jack read a book about gardening	1	good	27	English		Jack would like to eat fresh fruit and vegetables
24	he wants to be more healthy	Jack read a book about gardening	2	good	27	English		Jack wants to be more healthy
24	he wants to have a higher quality of living	Jack read a book about gardening	3	good	27	English		Jack wants to have a higher quality of living
24	he wants to be happier	Jack read a book about gardening	4	unknown	27	English		Jack wants to be happier
24	she enjoys driving	Maya drove to work	0	good	27	English		Maya enjoys driving
24	it's fun to her	Maya drove to work	1	good	27	English		it's fun to Maya
24	she enjoys the feel of the road	Maya drove to work	2	good	27	English		Maya enjoys the feel of the road
24	it's a pleasant experience	Maya drove to work	3	good	27	English		it's a pleasant experience
24	she can feel the power under her feet	Maya drove to work	4	unknown	27	English		Maya can feel the power under Maya feet
24	he wants to ride his bike	Sam repaired his bicycle	0	good	27	English		Sam wants to ride Sam's bike
24	he wants to exercise more	Sam repaired his bicycle	1	good	27	English		Sam wants to exercise more
24	he wants to get in shape	Sam repaired his bicycle	2	good	27	English		Sam wants to get in shape
24	he wants to live a healthier life	Sam repaired his bicycle	3	good	27	English		Sam wants to live a healthier life
24	he wants to feel better about himself	Sam repaired his bicycle	4	unknown	27	English		Sam wants to feel better about himself
24	he was hungry	Tom cooked dinner	0	good	27	English		Tom was hungry
24	he hadn't eaten all day	Tom cooked dinner	1	good	27	English		Tom hadn't eaten all day
24	he was busy	Tom cooked dinner	2	good	27	English		Tom was busy
24	he has a job	Tom cooked dinner	3	good	27	English		Tom has a job
24	he needs to pay his bills	Tom cooked dinner	4	unknown	27	English		Tom needs to pay Tom's bills
24	she needed one	Meg bought a new computer	0	good	27	English		Meg needed one
24	her work requires a computer	Meg bought a new computer	1	good	27	English		Meg work requires a computer
24	a lot of her work is online	Meg bought a new computer	2	good	27	English		a lot of Meg work is online
24	it's the nature of her profession	Meg bought a new computer	3	unknown	27	English		a lot of Meg work's the nature of Meg profession
25	it was time for her shift.	Maya drove to work	0	good	23	English	None at this time	it was time for Maya shift
25	she was scheduled to work today	Maya drove to work	1	good	23	English	None at this time	Maya was scheduled to work today
25	the manager thought it was best	Maya drove to work	2	good	23	English	None at this time	the manager thought it was best
25	the hours worked for everybody	Maya drove to work	3	good	23	English	None at this time	the hours worked for everybody
25	it didn't conflict with anyone	Maya drove to work	4	unknown	23	English	None at this time	the hours didn't conflict with anyone
25	she was hungry	Amy ate a sandwich	0	good	23	English	None at this time	Amy was hungry
25	she hasn't had a meal in hours	Amy ate a sandwich	1	good	23	English	None at this time	Amy hasn't had a meal in hours
25	she was busy running errands	Amy ate a sandwich	2	good	23	English	None at this time	Amy was busy running errands
25	today was the only day that was free	Amy ate a sandwich	3	good	23	English	None at this time	today was the only day that was free
25	the rest of the week she was working	Amy ate a sandwich	4	unknown	23	English	None at this time	the rest of the week Amy was working
