subject	explanation	seed	level	grammaticality	age	language	comments	sent_with_corefs	baby_cavemanese	cavemanese	S	N	P	O	S'	N'	P'	O'	tense
8	she needs to provide for herself	Amy ate a sandwich	4	unknown	31	english		Amy needs to provide for herself	Amy need	Amy need provide herself	Amy		need				provide	herself	future
8	she had a package to send	Jane went to the post office	0	good	31	english		Jane had a package to send	Jane have	Jane have package	Jane		have	package					past
8	she had a gift for someone but they were to far for her to bring it herself	Jane went to the post office	1	good	31	english		Jane had a gift for someone but they were to far for Jane to bring it herself	herself have	herself have someone	herself		have	someone					past
8	they lived in another state	Jane went to the post office	2	good	31	english		they lived in another state	they live	they live state	they		live	state					past
8	they moved	Jane went to the post office	3	good	31	english		they moved	they move	they move	they		move						past
8	thats where the work was	Jane went to the post office	4	unknown	31	english		thats where the work was	that	that			that						past
8	he is starting a garden	Jack read a book about gardening	0	good	31	english		Jack is starting a garden	Jack start	Jack start garden	Jack		start	garden					present
8	he wants to grow his own food	Jack read a book about gardening	1	good	31	english		Jack wants to grow Jack's own food	Jack want	Jack want grow food	Jack		want				grow	food	future
8	he prefers organic	Jack read a book about gardening	2	good	31	english		Jack prefers organic	Jack prefer	Jack prefer organic	Jack		prefer	organic					present
8	its free of pesticides	Jack read a book about gardening	3	good	31	english		organic's free of pesticides	organic	organic pesticide			organic	pesticide					future
8	he doesnt use any	Jack read a book about gardening	4	unknown	31	english		Jack doesnt use any	doesnt	doesnt			doesnt						future
8	she needed to get to work	Maya drove to work	0	good	31	english		Maya needed to get to work	maya need	maya need get	maya		need				get		future
8	her job requires her to be there	Maya drove to work	1	good	31	english		Maya job requires Maya to be there	job require	job require	job		require						future
8	thats where she does her work	Maya drove to work	2	good	31	english		thats where Maya does Maya work	that	that			that						present
8	thats her job	Maya drove to work	3	unknown	31	english		thats Maya job	that	that			that						future
9	they were dirty	Alex did the dishes	0	good	34	English		they were dirty	they dirty	they dirty	they		dirty						past
9	they had been used	Alex did the dishes	1	good	34	English		they had been used	they used	they used	they		used						past
9	Alex's family ate dinner on these dishes	Alex did the dishes	2	good	34	English		Alex's family ate dinner on these dishes	family eat	family eat dish	family		eat	dish					past
9	Alex's mother cooked dinner and they needed to eat on something	Alex did the dishes	3	good	34	English		Alex's mother cooked dinner and they needed to eat on something	mother cook	mother cook	mother		cook						past
9	people need something to eat on	Alex did the dishes	4	unknown	34	English		people need something to eat on	people need	people need eat on something	people		need	something			eat	on	future
9	her old computer was slow	Meg bought a new computer	0	good	34	English		Meg old computer was slow	computer slow	computer slow	computer		slow						past
9	she had downloaded malware	Meg bought a new computer	1	good	34	English		Meg had downloaded malware	Meg download	Meg download malware	Meg		download	malware					past
9	she thought 'bonzi buddy' was cute so she installed it	Meg bought a new computer	2	good	34	English		Meg thought  bonzi buddy  was cute so Meg installed Meg old computer	Meg think	Meg think bonzi	Meg		think	bonzi					past
9	it was a lovable character that talked to her while she surfed the net	Meg bought a new computer	3	good	34	English		it was a lovable character that Meg to Meg while she surfed the net	it character	it character Meg	it		character	Meg					past
9	the malware programmers thought people were more likely to install their malware if they disguised it as something that it wasn't	Meg bought a new computer	4	unknown	34	English		the malware programmers thought people were more likely to install their malware if they disguised it as something that it wasn't	programmer think	programmer think	programmer		think						past
9	Amy was hungry	Amy ate a sandwich	0	good	34	English		Amy was hungry	Amy hungry	Amy hungry	Amy		hungry						past
9	she handn't eaten since breakfast	Amy ate a sandwich	1	good	34	English		Amy handn't eaten since breakfast	hand not eat	hand not eat breakfast	hand	not	eat	breakfast					past
9	she was at work	Amy ate a sandwich	2	good	34	English		Amy was at work	Amy be	Amy be work	Amy		be	work					past
9	she had bills to pay so she worked for a living	Amy ate a sandwich	3	good	34	English		Amy had bills to pay so Amy worked for a living	Amy have	Amy have bill	Amy		have	bill					past
9	things she needs to get by in life cost money	Amy ate a sandwich	4	unknown	34	English		things Amy needs to get by in life cost money	Amy need	Amy need get by	Amy		need				get	by	future
9	Jane had to mail a package	Jane went to the post office	0	good	34	English		Jane had to mail a package	Jane have	Jane have mail package	Jane		have				mail	package	future
9	her boyfriend lived on the other side of the country	Jane went to the post office	1	good	34	English		Jane boyfriend lived on the other side of the country	boyfriend live	boyfriend live side	boyfriend		live	side					past
9	they met on the internet	Jane went to the post office	2	good	34	English		they met on the internet	they meet	they meet internet	they		meet	internet					past
9	she was shy and akward and had trouble dealing with people in person	Jane went to the post office	3	good	34	English		Jane was shy and akward and had trouble dealing with people in person	Jane shy	Jane shy	Jane		shy						past
9	she had a large forehead which made her self conscious	Jane went to the post office	4	unknown	34	English		Jane had a large forehead which made Jane self conscious	Jane have	Jane have forehead	Jane		have	forehead					past
9	John needed beer	John went to the store	0	good	34	English		John needed beer	John need	John need beer	John		need	beer					future
9	he was going to watch the game	John went to the store	1	good	34	English		John was going to watch the game	John go	John go watch game	John		go				watch	game	past
9	his team was playing	John went to the store	2	good	34	English		John's team was playing	team play	team play	team		play						past
9	the NFL scheduled a game involving his team	John went to the store	3	unknown	34	English		the NFL scheduled a game involving John's team	NFL schedule	NFL schedule game	NFL		schedule	game					past
10	she was hungry	Amy ate a sandwich	0	good	31	English	no	Amy was hungry	Amy hungry	Amy hungry	Amy		hungry						past
10	the body requires nutrients	Amy ate a sandwich	1	good	31	English	no	the body requires nutrients	body require	body require nutrient	body		require	nutrient					future
10	nutrients provide energy	Amy ate a sandwich	2	good	31	English	no	nutrients provide energy	nutrient provide	nutrient provide energy	nutrient		provide	energy					present
10	everything begins with physics	Amy ate a sandwich	3	good	31	English	no	everything begins with physics	everything begin	everything begin physics	everything		begin	physics					present
10	the universe formed a certain way	Amy ate a sandwich	4	unknown	31	English	no	the universe formed a certain way	universe form	universe form way	universe		form	way					past
10	she wanted newer technology	Meg bought a new computer	0	good	31	English	no	Meg wanted newer technology	Meg want	Meg want technology	Meg		want	technology					future
10	She cares about social status	Meg bought a new computer	1	good	31	English	no	She cares about social status	she care	she care status	she		care	status					present
10	It is human nature to care about social status	Meg bought a new computer	2	good	31	English	no	It is human nature to care about social status	it nature	it nature	it		nature						present
10	humans are a social species	Meg bought a new computer	3	good	31	English	no	humans are a social species	human species	human species	human		species						present
10	they find it easier to survive that way	Meg bought a new computer	4	unknown	31	English	no	they humans newer technology easier to survive that way	human	human			human						future
10	she wanted money	Maya drove to work	0	good	31	English	no	Maya wanted money	maya want	maya want money	maya		want	money					future
10	money can be exchanged for goods and services	Maya drove to work	1	good	31	English	no	money can be exchanged for goods and services	money exchanged	money exchanged goods	money		exchanged	goods					past
10	humans created something called the marketplace	Maya drove to work	2	good	31	English	no	humans created something called the marketplace	human create	human create	human		create						past
10	it makes it easier to survive	Maya drove to work	3	good	31	English	no	the marketplace makes the marketplace easier to survive	marketplace make	marketplace make marketplace easier	marketplace		make		marketplace		easier		present
10	technology advances	Maya drove to work	4	unknown	31	English	no	technology advances	advance	advance			advance						future
10	he was hungry	Tom cooked dinner	0	good	31	English	no	Tom was hungry	Tom hungry	Tom hungry	Tom		hungry						past
10	his body required nutrients	Tom cooked dinner	1	good	31	English	no	Tom's body required nutrients	body require	body require nutrient	body		require	nutrient					future
10	his biochemical structure needs energy	Tom cooked dinner	2	good	31	English	no	Tom's biochemical structure needs energy	structure need	structure need energy	structure		need	energy					future
10	otherwise he would die	Tom cooked dinner	3	good	31	English	no	otherwise Tom would die	otherwise	otherwise			otherwise						future
10	he wouldn't have energy	Tom cooked dinner	4	unknown	31	English	no	Tom wouldn't have energy	Tom not have	Tom not have energy	Tom	not	have	energy					future
10	he wanted to buy things	John went to the store	0	good	31	English	no	John wanted to buy things	John want	John want buy thing	John		want				buy	thing	future
10	they make his life easier	John went to the store	1	good	31	English	no	they make John's life easier	they make	they make life easier	they		make		life		easier		present
10	they are technological advances	John went to the store	2	good	31	English	no	they are technological advances	they advance	they advance	they		advance						present
10	they began as an idea	John went to the store	3	unknown	31	English	no	they began as an idea	they begin	they begin idea	they		begin	idea					past
11	the were dirty	Alex did the dishes	0	good	33	English	Cool survey	the were dirty	dirty	dirty			dirty						past
11	they were used gor dinner	Alex did the dishes	1	good	33	English	Cool survey	they were used gor dinner	they used	they used dinner	they		used	dinner					past
11	they had to eat un plates	Alex did the dishes	2	good	33	English	Cool survey	the had to eat un plates	have	have eat plate			have				eat	plate	future
11	the dinner was done	Alex did the dishes	3	good	33	English	Cool survey	the dinner was done	dinner done	dinner done	dinner		done						past
11	he finished cooking	Alex did the dishes	4	unknown	33	English	Cool survey	he finished cooking	he finish	he finish cooking	he		finish	cooking					past
11	he needed some supplies	John went to the store	0	good	33	English	Cool survey	John needed some supplies	John need	John need supplies	John		need	supplies					future
11	his house ran out of the supplies	John went to the store	1	good	33	English	Cool survey	John's house ran out of the supplies	house run	house run supplies	house		run	supplies					past
11	they were used the day before	John went to the store	2	good	33	English	Cool survey	they were used the day before	they used	they used before	they		used	before					past
11	the house needed cleaning	John went to the store	3	good	33	English	Cool survey	the house needed cleaning	house need	house need cleaning	house		need	cleaning					future
11	the house was dirty	John went to the store	4	unknown	33	English	Cool survey	the house was dirty	house dirty	house dirty	house		dirty						past
11	she needs to pay her rent	Maya drove to work	0	good	33	English	Cool survey	Maya needs to pay Maya rent	need pay	need pay rent	need		pay	rent					future
11	she needs a place to live	Maya drove to work	1	good	33	English	Cool survey	Maya needs a place to live	need	need			need						future
11	she can't live on the street	Maya drove to work	2	good	33	English	Cool survey	Maya can t live on the street	maya can	maya can t	maya		can	t					future
11	she might get wet	Maya drove to work	3	good	33	English	Cool survey	Maya might get wet	maya wet	maya wet	maya		wet						future
11	there's no were to hide if it rains	Maya drove to work	4	unknown	33	English	Cool survey	there's no were to hide if a place rains	no be	no be	no		be						past
11	it got broken	Sam repaired his bicycle	0	good	33	English	Cool survey	his bicycle got broken	bicycle broken	bicycle broken	bicycle		broken						past
11	he was using it	Sam repaired his bicycle	1	good	33	English	Cool survey	Sam was using his bicycle	Sam use	Sam use bicycle	Sam		use	bicycle					past
11	he needed to get to school	Sam repaired his bicycle	2	good	33	English	Cool survey	Sam needed to get to school	Sam need	Sam need get school	Sam		need				get	school	future
11	he needs to learn	Sam repaired his bicycle	3	good	33	English	Cool survey	Sam needs to learn	Sam need	Sam need learn	Sam		need				learn		future
11	he will get a job eventually	Sam repaired his bicycle	4	unknown	33	English	Cool survey	Sam will get a job eventually	Sam get	Sam get job	Sam		get	job					future
11	he wanted to plant	Jack read a book about gardening	0	good	33	English	Cool survey	Jack wanted to plant	Jack want	Jack want plant	Jack		want	plant					future
11	he want fresh vegetables	Jack read a book about gardening	1	good	33	English	Cool survey	Jack want fresh vegetables	Jack want	Jack want vegetable	Jack		want	vegetable					future
11	he can't afford the ones they sell on the supermarket	Jack read a book about gardening	2	good	33	English	Cool survey	Jack can t afford the ones they sell on the supermarket	Jack can	Jack can t	Jack		can	t					present
11	they are to high price	Jack read a book about gardening	3	unknown	33	English	Cool survey	the ones are to high price	one be	one be price	one		be	price					present
12	he was hungry	Tom cooked dinner	0	good	31	English	Interesting and fun experiment.	Tom was hungry	Tom hungry	Tom hungry	Tom		hungry						past
12	he did not eat since breakfast.	Tom cooked dinner	1	good	31	English	Interesting and fun experiment.	Tom did not eat since breakfast	Tom not eat	Tom not eat breakfast	Tom	not	eat	breakfast					past
12	he had meetings all day at work	Tom cooked dinner	2	good	31	English	Interesting and fun experiment.	Tom had meetings all day at work	Tom have	Tom have work	Tom		have	work					past
12	he's working on a big project	Tom cooked dinner	3	good	31	English	Interesting and fun experiment.	Tom's working on a big project	Tom	Tom project			Tom	project					future
12	the client wanted everything done very quickly	Tom cooked dinner	4	unknown	31	English	Interesting and fun experiment.	the client wanted everything done very quickly	client want	client want everything	client		want	everything					past
12	she wanted something healthy	Amy ate a sandwich	0	good	31	English	Interesting and fun experiment.	Amy wanted something healthy	Amy want	Amy want something healthy	Amy		want		something		healthy		future
12	she is trying to lose to weight	Amy ate a sandwich	1	good	31	English	Interesting and fun experiment.	Amy is trying to lose to weight	Amy try	Amy try lose weight	Amy		try				lose	weight	present
12	she gained a few pounds over the winter	Amy ate a sandwich	2	good	31	English	Interesting and fun experiment.	Amy gained a few pounds over the winter	Amy gain	Amy gain winter	Amy		gain	winter					past
12	she injured her hip while running and had to take time off	Amy ate a sandwich	3	good	31	English	Interesting and fun experiment.	Amy injured Amy hip while running and had to take time off	Amy	Amy			Amy						future
12	she was training for a marathon	Amy ate a sandwich	4	unknown	31	English	Interesting and fun experiment.	Amy injured Amy hip was training for a marathon	Amy train	Amy train marathon	Amy		train	marathon					past
12	her laptop was stolen	Meg bought a new computer	0	good	31	English	Interesting and fun experiment.	Meg laptop was stolen	laptop stolen	laptop stolen	laptop		stolen						past
12	she left it unattended at the coffee shop	Meg bought a new computer	1	good	31	English	Interesting and fun experiment.	Meg left Meg laptop unattended at the coffee shop	Meg leave	Meg leave	Meg		leave						past
12	she went to grab a refill of coffee	Meg bought a new computer	2	good	31	English	Interesting and fun experiment.	Meg went to grab a refill of coffee	Meg go	Meg go grab refill	Meg		go				grab	refill	past
12	she needed more caffeine to stay awake to study	Meg bought a new computer	3	good	31	English	Interesting and fun experiment.	Meg needed more caffeine to stay awake to study	Meg need	Meg need caffeine	Meg		need	caffeine					future
12	so she can get an A on the exam	Meg bought a new computer	4	unknown	31	English	Interesting and fun experiment.	so Meg can get an A on the exam	Meg get	Meg get exam	Meg		get	exam					future
12	to mail her mother a card	Jane went to the post office	0	good	31	English	Interesting and fun experiment.	to mail Jane mother a card	mother	mother			mother						future
12	it's her mother's birthday soon	Jane went to the post office	1	good	31	English	Interesting and fun experiment.	it's her mother's birthday soon	it birthday	it birthday	it		birthday						present
12	she was born on that day 60 years ago	Jane went to the post office	2	good	31	English	Interesting and fun experiment.	mail Jane mother a card was born on that day 60 years ago	mother born	mother born day	mother		born	day					past
12	her parents conceived her then	Jane went to the post office	3	good	31	English	Interesting and fun experiment.	Jane parents conceived mail Jane mother a card was born on that day 60 years ago because her parents then	parent conceive	parent conceive parent	parent		conceive	parent					past
12	they were in love and wanted to start a family	Jane went to the post office	4	unknown	31	English	Interesting and fun experiment.	Jane parents were in love and wanted to start a family	parent be	parent be love	parent		be	love					past
12	his wife cooks and he cleans	Alex did the dishes	0	good	31	English	Interesting and fun experiment.	Alex's wife cooks and Alex cleans	cook clean	cook clean	cook		clean						present
12	he's not a good cook and they split the chores	Alex did the dishes	1	good	31	English	Interesting and fun experiment.	Alex's not a good cook and wife cooks split the chores	Alex split	Alex split chore	Alex		split	chore					past
12	he wants to help out around the house	Alex did the dishes	2	good	31	English	Interesting and fun experiment.	Alex wants to help out around the house	Alex want	Alex want help house	Alex		want				help	house	future
12	so that he doesn't feel useless	Alex did the dishes	3	unknown	31	English	Interesting and fun experiment.	so that Alex doesn't feel useless	so	so			so						present
13	he wanted plant some stuff in his backyard	Jack read a book about gardening	0	good	27	English		Jack wanted plant some stuff in Jack's backyard	Jack want	Jack want	Jack		want						future
13	he just recently bought a house with a backyard.	Jack read a book about gardening	1	good	27	English		Jack just recently bought a house with a backyard	Jack buy	Jack buy backyard	Jack		buy	backyard					past
13	his had a new born kid and they needed a bigger home.	Jack read a book about gardening	2	good	27	English		Jack's had a new born kid and they needed a bigger home	Jack have	Jack have kid	Jack		have	kid					past
13	he loves his wife and they wanted to start a family together	Jack read a book about gardening	3	good	27	English		Jack loves Jack's wife and they wanted to start a family together	Jack love	Jack love wife	Jack		love	wife					present
13	they felt in love	Jack read a book about gardening	4	unknown	27	English		they felt in love	they feel	they feel love	they		feel	love					past
13	he needs to make money.	Maya drove to work	0	good	27	English		he needs to make money	he need	he need make money	he		need				make	money	future
13	he needs to afford his rent	Maya drove to work	1	good	27	English		he needs to afford his rent	he need	he need afford rent	he		need				afford	rent	future
13	he needs to live there 	Maya drove to work	2	good	27	English		he needs to live there 	he need	he need live	he		need				live		future
13	if he doesn't live there he won't have a place to live	Maya drove to work	3	good	27	English		if he doesn't live there he won't have a place to live	he not live	he not live	he	not	live						present
13	he doesn't want to be homless	Maya drove to work	4	unknown	27	English		he doesn't want to be homless	he not want	he not want homless	he	not	want				homless		present
13	her old computer was getting slow 	Meg bought a new computer	0	good	27	English		Meg old computer was getting slow 	computer slow	computer slow	computer		slow						past
13	she downloaded a lot of crap on it	Meg bought a new computer	1	good	27	English		she downloaded a lot of crap on it	she download	she download it	she		download	it					past
13	she doesn't know how to clean up her computer	Meg bought a new computer	2	good	27	English		Meg doesn't know how to clean up Meg computer	Meg not know	Meg not know	Meg	not	know						present
13	she's not that proficient in computer	Meg bought a new computer	3	good	27	English		Meg's not that proficient in computer	proficient	proficient			proficient						future
13	she never learn them	Meg bought a new computer	4	unknown	27	English		Meg never learn them	Meg not learn	Meg not learn they	Meg	not	learn	they					present
13	his gf cooked	Alex did the dishes	0	good	27	English		Alex's gf cooked	gf cook	gf cook	gf		cook						past
13	they needed to eat something	Alex did the dishes	1	good	27	English		they needed to eat something	they need	they need eat something	they		need				eat	something	future
13	humans need food to make eneregy	Alex did the dishes	2	good	27	English		humans need food to make eneregy	human need	human need make eneregy food	human		need	food			make	eneregy	future
13	otherwise people would die	Alex did the dishes	3	good	27	English		otherwise people would die	people	people			people						future
13	they won't have any food to make energey	Alex did the dishes	4	unknown	27	English		humans won t have any food to make energey	human win	human win	human		win						past
13	she was hungry	Amy ate a sandwich	0	good	27	English		Amy was hungry	Amy hungry	Amy hungry	Amy		hungry						past
13	sh hasn't eaten since lunch	Amy ate a sandwich	1	good	27	English		sh hasn't eaten since lunch	sh not eat	sh not eat lunch	sh	not	eat	lunch					past
13	she was caught up with work	Amy ate a sandwich	2	good	27	English		Amy was caught up with work	Amy caught	Amy caught work	Amy		caught	work					past
13	her client was being stupid and caused a lot of issue	Amy ate a sandwich	3	unknown	27	English		Amy client was being stupid and caused a lot of issue	client stupid	client stupid	client		stupid						past
14	the dishes were dirty.	Alex did the dishes	0	good	33	English	Thank you	the dishes were dirty	dish dirty	dish dirty	dish		dirty						past
14	the family had eaten dinner.	Alex did the dishes	1	good	33	English	Thank you	the family had eaten dinner	family eat	family eat dinner	family		eat	dinner					past
14	they were all hungry.	Alex did the dishes	2	good	33	English	Thank you	they were all hungry	they hungry	they hungry	they		hungry						past
14	they had not eaten for a long time.	Alex did the dishes	3	good	33	English	Thank you	they had not eaten for a long time	they not eat	they not eat time	they	not	eat	time					past
14	they had had a busy day.	Alex did the dishes	4	unknown	33	English	Thank you	they had had a busy day	they have	they have	they		have						past
14	he was out of food.	John went to the store	0	good	33	English	Thank you	John was out of food	John be	John be food	John		be	food					past
14	he had not been to the store for a long time	John went to the store	1	good	33	English	Thank you	John had not been to the store for a long time	John not be	John not be time	John	not	be	time					past
14	he did not have much money	John went to the store	2	good	33	English	Thank you	John did not have much money	John not have	John not have money	John	not	have	money					past
14	he had lost of his job recently	John went to the store	3	good	33	English	Thank you	John had lost of John's job recently	John lose	John lose job	John		lose	job					past
14	he was lazy 	John went to the store	4	unknown	33	English	Thank you	John was lazy 	John lazy	John lazy	John		lazy						past
14	she was hungry	Amy ate a sandwich	0	good	33	English	Thank you	Amy was hungry	Amy hungry	Amy hungry	Amy		hungry						past
14	she had not had breakfast	Amy ate a sandwich	1	good	33	English	Thank you	Amy had not had breakfast	Amy not have	Amy not have breakfast	Amy	not	have	breakfast					past
14	she had overslept	Amy ate a sandwich	2	good	33	English	Thank you	Amy had overslept	Amy oversleep	Amy oversleep	Amy		oversleep						past
14	she had been up all night	Amy ate a sandwich	3	good	33	English	Thank you	Amy had been up all night	Amy be	Amy be	Amy		be						past
14	she had a paper to write	Amy ate a sandwich	4	unknown	33	English	Thank you	Amy had a paper to write	Amy have	Amy have paper	Amy		have	paper					past
14	he wanted to start his own garden	Jack read a book about gardening	0	good	33	English	Thank you	Jack wanted to start Jack's own garden	Jack want	Jack want start garden	Jack		want				start	garden	future
14	he wanted to grow fresh vegetables	Jack read a book about gardening	1	good	33	English	Thank you	Jack wanted to grow fresh vegetables	Jack want	Jack want grow vegetable	Jack		want				grow	vegetable	future
14	he was fat and worried about his health	Jack read a book about gardening	2	good	33	English	Thank you	Jack was fat and worried about Jack's health	Jack fat	Jack fat health	Jack		fat	health					past
14	he only ate junk food	Jack read a book about gardening	3	good	33	English	Thank you	Jack only ate junk food	Jack eat	Jack eat food	Jack		eat	food					past
14	he did not know how to cook for himself	Jack read a book about gardening	4	unknown	33	English	Thank you	Jack did not know how to cook for himself	Jack not know	Jack not know	Jack	not	know						past
14	she had to earn a paycheck	Maya drove to work	0	good	33	English	Thank you	Maya had to earn a paycheck	maya have	maya have earn paycheck	maya		have				earn	paycheck	future
14	she had to pay her mortgage	Maya drove to work	1	good	33	English	Thank you	Maya had to pay Maya mortgage	maya have	maya have pay mortgage	maya		have				pay	mortgage	future
14	she did not want to lose her home	Maya drove to work	2	good	33	English	Thank you	Maya did not want to lose Maya home	maya not want	maya not want lose home	maya	not	want				lose	home	past
14	she did not want to be homeless	Maya drove to work	3	unknown	33	English	Thank you	Maya did not want to be homeless	maya not want	maya not want homeless	maya	not	want				homeless		past
15	she needed to spreadsheets at home.	Meg bought a new computer	0	good	27	english		Meg needed to spreadsheets at home	Meg need	Meg need home	Meg		need	home					future
15	she works from home.	Meg bought a new computer	1	good	27	english		Meg works from home	Meg work	Meg work home	Meg		work	home					present
15	her jobs lets her	Meg bought a new computer	2	good	27	english		Meg jobs lets Meg	job let	job let Meg	job		let	Meg					present
15	they want to reduce work place stress	Meg bought a new computer	3	good	27	english		they want to reduce work place stress	they want	they want reduce stress	they		want				reduce	stress	future
15	The company has stressful working conditions	Meg bought a new computer	4	unknown	27	english		The company has stressful working conditions	company have	company have condition	company		have	condition					present
15	 she wanted ice cream	John went to the store	0	good	27	english		 she wanted ice cream	she want	she want cream	she		want	cream					future
15	she was craving ice cream	John went to the store	1	good	27	english		she was craving ice cream	she cream	she cream	she		cream						past
15	 she's pregnant	John went to the store	2	good	27	english		craving ice cream because she 's pregnant she's pregnant	ice cream	ice cream	ice		cream						present
15	she had sex with a male	John went to the store	3	good	27	english		she had sex with a male	she have	she have sex	she		have	sex					past
15	because it feels good	John went to the store	4	unknown	27	english		because sex with a male feels good	sex feel	sex feel	sex		feel						present
15	he was hosting tonight's football night	Tom cooked dinner	0	good	27	english		Tom was hosting tonight's football night	Tom host	Tom host	Tom		host						past
15	because his friends usually rotate between houses	Tom cooked dinner	1	good	27	english		because Tom's friends usually rotate between houses	friend rotate	friend rotate house	friend		rotate	house					present
15	it's a guys night out	Tom cooked dinner	2	good	27	english		it's a guys night out	it night	it night	it		night						present
15	their wives nag	Tom cooked dinner	3	good	27	english		Tom 's friends's wives nag	Tom	Tom			Tom						future
15	they don't pay attention to them	Tom cooked dinner	4	unknown	27	english		they don t pay attention Tom 's friends 's wives them	they don	they don attention wife	they		don		attention		wife		present
15	it was his chore	Alex did the dishes	0	good	27	english		it was Alex's chore	it chore	it chore	it		chore						past
15	his parents said so	Alex did the dishes	1	good	27	english		Alex's parents said so	parent say	parent say	parent		say						past
15	they pay the bills in the house	Alex did the dishes	2	good	27	english		Alex 's parents pay the bills in the house	parent pay	parent pay bill	parent		pay	bill					present
15	 they are home owners	Alex did the dishes	3	good	27	english		 they are home owners	they owner	they owner	they		owner						present
15	they wanted a home to start a family	Alex did the dishes	4	unknown	27	english		they wanted a home to start a family	they want	they want home	they		want	home					future
15	it was broken	Sam repaired his bicycle	0	good	27	english		his bicycle was broken	bicycle broken	bicycle broken	bicycle		broken						past
15	he jumped off a ramp	Sam repaired his bicycle	1	good	27	english		Sam jumped off a ramp	Sam jump	Sam jump ramp	Sam		jump	ramp					past
15	it was fun	Sam repaired his bicycle	2	good	27	english		a ramp was fun	ramp fun	ramp fun	ramp		fun						past
15	sam lives in middle of no where	Sam repaired his bicycle	3	unknown	27	english		sam lives in middle of no where	sam live	sam live middle	sam		live	middle					present
16	he wanted to start a garden	Jack read a book about gardening	0	good	31	English		Jack wanted to start a garden	Jack want	Jack want start garden	Jack		want				start	garden	future
16	he wanted fresh vegetables	Jack read a book about gardening	1	good	31	English		Jack wanted fresh vegetables	Jack want	Jack want vegetable	Jack		want	vegetable					future
16	he wanted to start eating healthy	Jack read a book about gardening	2	good	31	English		Jack wanted to start eating healthy	Jack want	Jack want start	Jack		want				start		future
16	to maintain a healthy body weight	Jack read a book about gardening	3	good	31	English		to maintain a healthy body weight	maintain	maintain weight			maintain	weight					future
16	he wants to live longer	Jack read a book about gardening	4	unknown	31	English		Jack wants to live longer	Jack want	Jack want live	Jack		want				live		future
16	his other one broke	Meg bought a new computer	0	good	31	English		his other one broke	other break	other break	other		break						past
16	he got a virus	Meg bought a new computer	1	good	31	English		he got a virus	he get	he get virus	he		get	virus					past
16	he opened an email attatchment that infected his computer	Meg bought a new computer	2	good	31	English		he opened an email attatchment that infected his computer	he open	he open attatchment	he		open	attatchment					past
16	he thought  it was from a friend	Meg bought a new computer	3	good	31	English		he thought a new computer it was from a friend	he think	he think computer	he		think	computer					past
16	the email had his friends email and name	Meg bought a new computer	4	unknown	31	English		the email had a friend's friends email and name	email have	email have friend	email		have	friend					past
16	it was broken in an accident	Sam repaired his bicycle	0	good	31	English		his bicycle was broken in an accident	bicycle broken	bicycle broken accident	bicycle		broken	accident					past
16	he was hit by a car	Sam repaired his bicycle	1	good	31	English		Sam was hit by a car	car hit	car hit Sam	car		hit	Sam					past
16	the drver wasn't paying attention	Sam repaired his bicycle	2	good	31	English		the drver wasn't paying attention	drver not pay	drver not pay attention	drver	not	pay	attention					past
16	he was looking at his cell phone	Sam repaired his bicycle	3	good	31	English		the drver was looking at the drver's cell phone	drver look	drver look phone	drver		look	phone					past
16	he was texting his friend	Sam repaired his bicycle	4	unknown	31	English		the drver was texting the drver's friend	drver text	drver text friend	drver		text	friend					past
16	it was his day to do them	Alex did the dishes	0	good	31	English		it was Alex's day to do them	it day	it day	it		day						past
16	his family has a chore chart	Alex did the dishes	1	good	31	English		Alex's family has a chore chart	family have	family have chart	family		have	chart					present
16	every one needs to pitch in	Alex did the dishes	2	good	31	English		every one needs to pitch in	one need	one need pitch in	one		need				pitch	in	future
16	it is the fair thing to do	Alex did the dishes	3	good	31	English		it is the fair thing to do	it thing	it thing	it		thing						present
16	it keeps the household fair	Alex did the dishes	4	unknown	31	English		one keeps the household fair	one keep	one keep fair	one		keep	fair					present
16	he was planning a party	John went to the store	0	good	31	English		John was planning a party	John plan	John plan party	John		plan	party					past
16	it was super bowl weekend	John went to the store	1	good	31	English		the store was super bowl weekend	store weekend	store weekend	store		weekend						past
16	the super bowl is on Sunday	John went to the store	2	good	31	English		the super bowl is on Sunday	bowl be	bowl be Sunday	bowl		be	Sunday					present
16	that is when the NFL planned it	John went to the store	3	unknown	31	English		that is when the NFL planned it	that be	that be	that		be						past
17	Amy was hungry	Amy ate a sandwich	0	good	35	English		Amy was hungry	Amy hungry	Amy hungry	Amy		hungry						past
17	Amy hadn't eaten in hours.	Amy ate a sandwich	1	good	35	English		Amy hadn't eaten in hours	Amy not eat	Amy not eat hour	Amy	not	eat	hour					past
17	she had no money for food	Amy ate a sandwich	2	good	35	English		Amy had no money for food	Amy have	Amy have money	Amy		have	money					past
17	she was robbed	Amy ate a sandwich	3	good	35	English		Amy was robbed	Amy robbed	Amy robbed	Amy		robbed						past
17	a burglar thought she had money	Amy ate a sandwich	4	unknown	35	English		a burglar thought Amy had money	burglar think	burglar think	burglar		think						past
17	he was interested in gardening	Jack read a book about gardening	0	good	35	English		Jack was interested in gardening	Jack interested	Jack interested gardening	Jack		interested	gardening					past
17	he wanted to start a garden	Jack read a book about gardening	1	good	35	English		Jack wanted to start a garden	Jack want	Jack want start garden	Jack		want				start	garden	future
